alpha_id,field_id,expr,error,overall_pass,sharpe,fitness,turnover,returns,checks_pass
,cpskew_30_butterfly,"ts_mean((ts_backfill(implied_volatility_call_30,5)-ts_backfill(implied_volatility_put_30,5))/(ts_backfill(implied_volatility_call_30,5)+ts_backfill(implied_volatility_put_30,5)),5)","提交失败: 429 {""detail"":""CONCURRENT_SIMULATION_LIMIT_EXCEEDED""}",False,,,,,
,cpskew_180_ratio_tsrank60,"ts_rank(ts_backfill(implied_volatility_call_180,5)/ts_backfill(implied_volatility_put_180,5),60)","提交失败: 429 {""detail"":""CONCURRENT_SIMULATION_LIMIT_EXCEEDED""}",False,,,,,
,cpskew_180_butterfly,"ts_mean((ts_backfill(implied_volatility_call_180,5)-ts_backfill(implied_volatility_put_180,5))/(ts_backfill(implied_volatility_call_180,5)+ts_backfill(implied_volatility_put_180,5)),5)","提交失败: 429 {""detail"":""CONCURRENT_SIMULATION_LIMIT_EXCEEDED""}",False,,,,,
d5ljA95x,cpskew_180_butterfly_zs60,"{'code': 'ts_zscore((ts_backfill(implied_volatility_call_180,5)-ts_backfill(implied_volatility_put_180,5))/(ts_backfill(implied_volatility_call_180,5)+ts_backfill(implied_volatility_put_180,5)),60)', 'description': None, 'operatorCount': 8}",,False,0.48,0.06,1.052,0.014,True
xAmj0Lrl,cpskew_180_butterfly_rank,"{'code': 'rank(ts_mean((ts_backfill(implied_volatility_call_180,5)-ts_backfill(implied_volatility_put_180,5))/(ts_backfill(implied_volatility_call_180,5)+ts_backfill(implied_volatility_put_180,5)),5))', 'description': None, 'operatorCount': 9}",,False,1.7,0.86,0.2633,0.0677,True
KPw7algk,cpskew_90_butterfly,"{'code': 'ts_mean((ts_backfill(implied_volatility_call_90,5)-ts_backfill(implied_volatility_put_90,5))/(ts_backfill(implied_volatility_call_90,5)+ts_backfill(implied_volatility_put_90,5)),5)', 'description': None, 'operatorCount': 8}",,True,2.43,1.6,0.287,0.124,True
xAmjga3w,cpskew_term_90m180,"{'code': 'ts_mean((ts_backfill(implied_volatility_call_90,5)-ts_backfill(implied_volatility_put_90,5))/ts_backfill(implied_volatility_mean_90,5),5)-ts_mean((ts_backfill(implied_volatility_call_180,5)-ts_backfill(implied_volatility_put_180,5))/ts_backfill(implied_volatility_mean_180,5),5)', 'description': None, 'operatorCount': 13}",,False,-0.55,-0.12,0.4044,-0.02,True
,cpskew_term_180m365,"ts_mean((ts_backfill(implied_volatility_call_180,5)-ts_backfill(implied_volatility_put_180,5))/ts_backfill(implied_volatility_mean_180,5),5)-ts_mean((ts_backfill(implied_volatility_call_365,5)-ts_backfill(implied_volatility_put_365,5))/ts_backfill(implied_volatility_mean_365,5),5)",完成但 alpha 为空,False,,,,,
e7qzRg96,cpskew_term_30m180,"{'code': 'ts_mean((ts_backfill(implied_volatility_call_30,5)-ts_backfill(implied_volatility_put_30,5))/ts_backfill(implied_volatility_mean_30,5),5)-ts_mean((ts_backfill(implied_volatility_call_180,5)-ts_backfill(implied_volatility_put_180,5))/ts_backfill(implied_volatility_mean_180,5),5)', 'description': None, 'operatorCount': 13}",,False,-0.79,-0.2,0.3623,-0.0236,True
wpJjg1kd,cpskew_term_60m180,"{'code': 'ts_mean((ts_backfill(implied_volatility_call_60,5)-ts_backfill(implied_volatility_put_60,5))/ts_backfill(implied_volatility_mean_60,5),5)-ts_mean((ts_backfill(implied_volatility_call_180,5)-ts_backfill(implied_volatility_put_180,5))/ts_backfill(implied_volatility_mean_180,5),5)', 'description': None, 'operatorCount': 13}",,False,-0.84,-0.23,0.3884,-0.0294,True
